attr,price,title,link,postbody,location,postdate
"
           2003 runs perfectly
   
           fuel: gas
           title status: clean
           transmission: automatic
   ",1500,Toyota Corolla 2003perfectly smooth,http://sfbay.craigslist.org//sfc/cto/5812798577.html,"
clean interior/exterior, runs perfectly smooth, tires, brakes & rotors in great condition, includes AUX for entertainment, good car for commuting    ",,2016-10-04T11:18:01-0700
"
           1998 Ford Escort
   
           condition: excellent
           cylinders: 4 cylinders
           fuel: gas
           odometer: 92000
           title status: salvage
           transmission: automatic
   ",2500,"1998 VERY LOW MILES ONLY 98,000 ON THIS 4 CYL FORD ESCORT",http://sfbay.craigslist.org//sfc/cto/5809464072.html,"
I'm selling my daughters just smog 1998 Ford Escort with only 92,000 original miles. The car runs good but might need breaks soon and a tune up other than that it's a good running little car. It does have a salvage title but it was salvaged in 2000 over 16 years ago and it has not ever given her any problems. It has power locks and windows, Ac/heater work great and a CD player. I lost the title but have a pink form DMV gave me to give to whoever buys it. If interested message me or call me at 
 show contact info
 Thanks for looking at my ad and good luck with your purchase. 

Hablo Español 

Cash Only
No Trades 
No Checks    ", (Stockton),2016-10-02T09:59:00-0700
"
           2003 runs perfectly
   
           fuel: gas
           title status: clean
           transmission: automatic
   ",1500,Toyota Corolla 2003good car,http://sfbay.craigslist.org//sfc/cto/5812799847.html,"
clean interior/exterior, runs perfectly smooth, tires, brakes & rotors in great condition, includes AUX for entertainment, good car for commuting    ",,2016-10-04T11:18:37-0700
"
           2003 runs perfectly
   
           fuel: gas
           title status: clean
           transmission: automatic
   ",1500,Toyota Corolla 2003great condition,http://sfbay.craigslist.org//sfc/cto/5812801585.html,"
clean interior/exterior, runs perfectly smooth, tires, brakes & rotors in great condition, includes AUX for entertainment, good car for commuting    ",,2016-10-04T11:19:27-0700
"
           2015 Toyota Prius C
   
           condition: good
           cylinders: 4 cylinders
           drive: fwd
           fuel: hybrid
           odometer: 4014
           title status: salvage
           transmission: automatic
           type: hatchback
   ",12999,"2015 Toyota Prius C Hybrid 4K , LED HEADLIGHTS, BLUETOOTH,  AUTO",http://sfbay.craigslist.org//sfc/cto/5775206988.html,"
2015 Toyota Prius C Hybrid 4K , LED HEADLIGHTS, BLUETOOTH,  AUTO, salvage history, airbags never deployed  call me for more info 
 show contact info

Thanks    ", (Sacramento),2016-09-10T07:38:51-0700
"
           2011 2011 Nissan versa
   
           condition: like new
           cylinders: 4 cylinders
           fuel: gas
           odometer: 60141
           title status: salvage
           transmission: automatic
   ",5700,2011 Nissan versa,http://sfbay.craigslist.org//sfc/cto/5807215092.html,"
hi I'm selling this bountiful car in excellent condition call for more information 
 show contact info
Se abla espanol muy buenas conditiones    ", (excelsior / outer mission),2016-09-30T16:45:28-0700
"
           2009 Nissan 370z
   
           condition: good
           cylinders: 6 cylinders
           drive: rwd
           fuel: gas
           odometer: 132000
           paint color: black
           size: compact
           title status: clean
           transmission: manual
   ",14000,2009 Nissan 370z Touring,http://sfbay.craigslist.org//sfc/cto/5811847045.html,"
2009 Nissan 370z Touring
Black on black
In dash navigation
heated seats
leather
6 speed
    ", (Carson city),2016-10-03T18:53:46-0700
"
           1997 lexus lx450
   
           condition: like new
           cylinders: 6 cylinders
           drive: 4wd
           fuel: gas
           odometer: 105500
           paint color: black
           size: full-size
           title status: clean
           transmission: automatic
           type: SUV
   ",34999,1997 Lexus LX450 / Toyota Land Cruiser,http://sfbay.craigslist.org//sfc/cto/5811847796.html,"
Officially FOR SALE!!!!
1997 Lexus LX450
Factory Lockers and Loaded 😄
Only 105,500 miles!! 
2nd Owner since New
Extremely good condition
No rust
Not beaten off-road
Last year produced
All work listed completely within the last 5000 miles and can be verified
Herbalife decals will be removed
Almost $40,000 invested
List of Mods and Aftermarket Items:
TRD Supercharger (new and just professionally installed)
Fresh tune-up including valve cover gasket, spark plugs, plug wires, coil, oil pump cover
3M Vinyl full body Wrap - gloss black
Method 17' Wheels
35x12.50 Toyo MT Tires 
Old Man Emu Suspension and Lift
New Tie rods
New Tie Rod Heavy Duty Bar
4 wheel Alignment
Roof rack powdercoat (satin black)
4x4 Labs Custom Front and rear bumpers (satin black)
4x4 Labs rocksliders / steps (satin black)
Full Led lighting (even the glove box)
Led tail lights with Morimoto HD reverse LED
Clear corners and parking lights
Morimoto Hids (high quality Japanese not cheap)
Japan spec Land Cruiser Headlights (LX450 grille adapted to fit) 
Magnaflow Exhaust
Dual 4.5 exhaust tips (satin black)
Rigid Radius (curved) LED lightbar
Rigid Single LED Duallys
Valve cover professionally prepped, primed and painted Nardo Grey
Removable Whip or CB antenna mount (bolts on inside rear hatch)
3M Window Tint
Electronics:
Kenwood DDX372BT Double Din Touchscreen Receiver w/ Bluetooth Phone and MP3, Pandora, equalizer, subwoofer control and more.
Bluetooth phone integration with microphone above drivers visor
Rear Reverse or Off-Road HD Camera
JL Audio Pro Series 10 inch Subwoofer
JL Audio Factory Subwoofer Enclosure
JL Audio Amplifier (stealth install behind factory panel and quickly accessible)
(4) Rockford Fosgate 6.5 coaxials
Vehicle Condition:
Excellent. Body is incredible. Undercarriage is clean. Engine bay is clean. Interior is clean. Runs and drives absolutely amazing and has a lot of torque and power. Incredible in low range. Drives so well I love driving it daily. The ride is quite soft and not harsh. Wind noise is minimal. It's very tight and not abused. Stereo system is very clear, even at high volume, and has enough clean, crisp deep bass to satisfy most. Rear camera works very well, even at night thanks to the HD LED reverse lights.
Flaws:
Wear mark (approx 9 inch diameter) on removable rear factory Lexus cargo mat
Front seat wear but no cracks
$34,999 firm 
or Text 
 show contact info


keywords: toyota, land cruiser, 80 series, lx450, lexus, jeep, off road, suv, gwagen, cherokee    ", (Lodi),2016-10-03T18:54:25-0700
"
           2006 gmc 1500 yukon xl
   
           condition: good
           cylinders: 8 cylinders
           drive: rwd
           fuel: gas
           odometer: 82427
           paint color: blue
           size: full-size
           title status: salvage
           transmission: automatic
           type: SUV
   ",6450,"2006 GMC Yukon XL 1500, RWD, ONLY 82,427 ACTUAL MILES, EXCELLENT CONDI",http://sfbay.craigslist.org//sfc/cto/5811797224.html,"
2006 GMC Yukon XL 1500, RWD
 !!!
Year: 2006
Make: GMC
Model: Yukon XL
Mileage: 82k
Transmission: Automatic
Engine: 8 Cylinder, 5.3 L
Exterior Color: Blue
Interior Color: Gray
Passed smog recently
The engine and transmission is very solid
3rd Row Seating
This SUV has no known problems, looks stunning and drives silky-smooth.
Some time ago it was involved in a accident with small damage to Rear Left side. During the accident the airbags were not deployed; 
The car runs great and the transmission is very smooth shifting.
THE CAR ALREADY REGISTERED AND HAS CALIFORNIA SALVAGE TITLE;
EXCELLENT CONDITION.
<><><><> 9<><>1<><>6-<><><><220<><><><><><-65><><>01<><><><><><><><><><><>    ", (SACRAMENTO),2016-10-03T18:10:35-0700
"
           2003 infiniti g35 coupe
   
           VIN: JNKCV54E63M218635
           condition: excellent
           cylinders: 6 cylinders
           drive: rwd
           fuel: gas
           odometer: 155999
           paint color: silver
           size: compact
           title status: clean
           transmission: automatic
           type: coupe
   ",8500,2003 Infiniti G35,http://sfbay.craigslist.org//sfc/cto/5811847969.html,"
Selling a 2003 Infiniti G35 in great condition. 

$8500 OBO

No history of smokers
Automatic Engine runs smooth
Only used full synthetic oil changes and Premium gas
155xxx miles (~12k/yr)
Body in great condition with only a couple scratches
VIN: JNKCV54E63M218635
Clean Title
Upgraded sound system (Aux input)
Heated seats
Power sunroof
Dual-zone AC runs hot or cold for either side
All features and accessories working great!

Just moved to SF for new job and no longer need to pay for parking this thing. I will miss it...    ", (SOMA / south beach),2016-10-03T18:54:35-0700
"
           2005 VW Toaureg
   
           cylinders: 6 cylinders
           drive: 4wd
           fuel: gas
           odometer: 121000
           title status: clean
           transmission: automatic
   ",4900,2005 Volkswagen Touareg All Wheel Drive V6 Low Miles,http://sfbay.craigslist.org//sfc/cto/5811773990.html,"
2005 VW Touareg SUV
Runs Excellent Has 121,000 Original Miles
Just Passed Smog I Have The Certificate
Six Cylinder Engine
All Wheel Drive
Automatic Transmission With Triptronic Shifter
Brand New Tires
Everything Works
Power Windows
Power Door Locks
Power Moon Roof
Cruise Control
Ice Cold Air Condition
CD Player Stereo
Heated Seats 
Beautiful Leather Interior

We Are Selling Our Touareg Because We Just Got A New Car Its Been Wonderful Has Some Small Scratches Here And There But They Are Minor It Had A Clean Title And It Is Currently Registered To 2017 I Am Asking $4,900 Or Best Offer Please Call Me At 
 show contact info
    ", (San Francisco),2016-10-03T17:51:26-0700
"
           2006 Ford Mustang
   
           fuel: gas
           paint color: blue
           title status: clean
           transmission: automatic
   ",1508,FOR SALE ***** 06 Ford Mustang Convertible,http://sfbay.craigslist.org//sfc/cto/5811849096.html,"
2006 Ford Mustang convertible leather interior. In great shape. Automatic, Mach stereo system, aftermarket wheels, brand new brakes and rotors in front and back.    ",,2016-10-03T18:55:37-0700
"
           1969 Ford Torino
   
           condition: like new
           cylinders: 8 cylinders
           fuel: gas
           paint color: green
           title status: clean
           transmission: automatic
   ","
  
    
    hide this posting
  
  
    
    unhide
  
",1969 Torino GT Fastback,http://sfbay.craigslist.org//sfc/cto/5806901027.html,"
I am selling my 1969 Torino GT Fastback.
All original except radiator and Wheels.
351w Automatic
Paint Looks Great
Interior Looks Great
The vin code has m which reflects 351 4v
Always garaged 
Last owner had it for over 20 years.
Located in Missouri
Priced to sell 
Make Offer!!!
No Low Ballers
NADA has car priced in top condition at $29,000
This Torino is in Near Mint Condition
Please call  
 show contact info

No Text No Emails No Trades


1967  1968  1969   1970  Ford Torino GT Fairlane Galaxie Mustang
RestoMod Muscle Car  Classic    ",,2016-09-30T13:17:52-0700
"
           2013 volkswagen gti
   
           fuel: gas
           odometer: 33000
           title status: clean
           transmission: automatic
   ",19000,2013 Volkswagen GTI,http://sfbay.craigslist.org//sfc/cto/5811856785.html,"
Selling my 2013 vw GTI for $19000 cash only

Automatic 

Clean title

33,000 miles

Sunroof

One owner

Text for more info: 
 show contact info
    ", (San Francisco),2016-10-03T19:02:46-0700
"
           2006 Ford Mustang Gt
   
           condition: excellent
           cylinders: 8 cylinders
           fuel: gas
           paint color: blue
           title status: clean
           transmission: automatic
   ",1577,Supercharged Mustang GT Convertible,http://sfbay.craigslist.org//sfc/cto/5811856933.html,"
My nice blue Ford Mustang GT convertible V8 auto A/C power windows power locks power mirrors power seat leather seats with lumbar Am/Fm/6 CD changer with Mach stereo sound system new tires.    ",,2016-10-03T19:02:54-0700
"
           2014 ford f150
   
           condition: excellent
           fuel: gas
           title status: clean
           transmission: automatic
   ",33999,Ford 2014 F-150 Limited,http://sfbay.craigslist.org//sfc/cto/5811862380.html,"
2014 Ford F-150 Limited, highest end model, Custom Midnight blue leather interior, power door runners that deploy on door opening, 4 wheel drive, 3.5L eco-boost engine, 24 mpg hwy, 34,900 miles. Original owner, DVD players, all options sunroof, 22 inch chrome alloy wheels, custom built from Dearborn plant. short bed with custom spray-in bed liner. Small crack in passenger bottom right windshield otherwise no issues. Tinted windows.
    ", (SOMA / south beach),2016-10-03T19:08:01-0700
"
           1968 Chevy g10
   
           fuel: gas
           title status: clean
           transmission: manual
   ",1200,1968 chevy G10 Van,http://sfbay.craigslist.org//sfc/cto/5811862450.html,"
1968 chevy g10 panel van short wide wheel base very original and uncommon. Straight six 230 with 3 on the tree starts and runs but not road worthy yet. Master brake cylinder needs to be replaced to bring the brakes back. Van is complete and is a project has rust in the rear that needs attention. Have pink with bill of sale has been out of sytem many many years and dmv cleared that there is no back fees.
1,200$$
Awsome deal
Trades for other projects 
    ", (downtown / civic / van ness),2016-10-03T19:08:05-0700
"
           2002 F150 XL
   
           condition: good
           cylinders: 8 cylinders
           drive: rwd
           fuel: gas
           odometer: 163000
           paint color: white
           size: full-size
           title status: clean
           transmission: automatic
   ",4200,2002 F150 XL white Pick up for sale,http://sfbay.craigslist.org//sfc/cto/5777731003.html,"
I have a nice clean title 2002 F150 XL for sale, ext cab with 4 doors (not a double cab) and 6ft bed, we used for camping and road trips to the big sur but we do need it anymore since we got a VW bug as recreational car, have gray clothe interior, vinyl floor cover ,aftermarket radio with Bluetooth, subwoofer, headache rack, 80% on 1 year old tires, is in good condition 

pics can be sent as request 






pickup, pick up, truck, Ford , f150 , f-150
f-250, xlt, ram , white, camioneta , troca,
    ", (San Francisco),2016-09-12T01:03:25-0700
"
           1985 BMW 635csi
   
           fuel: gas
           title status: clean
           transmission: other
   ",11950,BMW 635csi Euro/Grey Market Import- Super Rare Pristine!!!,http://sfbay.craigslist.org//sfc/cto/5804119743.html,"
I have a 1985 BMW Euro Spec 635csi Shark-Imported from Germany!!! In amazing condition! 

Drives like a brand new car!!!! Even better with all these upgrades 
A true collector's car! Extremely rare!!!! 
Pros:

*Stacks of receipts for maintannce!!

*Clean Title

*True German Import with all proper paperwork and 100% legal

*Body and Paint amazing!

*Beautiful Interior!

*BBS RK rims with Brand new Tires $2500

*Brand New suspension Bilstein Sports all the way around with new bushings and Eibacg Springs

*Meticulously Maintained

*engine and tranny in perfect working condition*

*Handles like a dream

*Over $30,000 invested in this car 

*every factory option possible including:

Electric seat, headrests, windows, limited slip differential all in perfect working order! 

*extremley rare automatic 

*euro bumpers of course!

*Low Miles for age!!!!! 156k

*25% LSD

So so much more to list........



Not so good

*tear in driver seat (normal wear)

That's it!



I am asking $11,900 for this car. This car could easily fetch 15-17k at auction. Please DO NOT waste my time with Low offers. Open to trades NO JUNK. I need to thin my heard. 



Shown by appointment only. Don't waste my time please. Serious buyers with cash only! 


Keywords 

M5, m6, 635, csi, shark, grey market, m3, 540i, e30, e24, 
    ", (excelsior / outer mission),2016-09-28T17:53:01-0700
"
           2013 mini cooper convertible
   
           fuel: gas
           title status: clean
           transmission: automatic
   ",18500,2013 MINI COOPER,http://sfbay.craigslist.org//sfc/cto/5811879413.html,"
*** 2013 MINI COOPER *** 20K ***

** ONE OWNER ** LOW MILES **

*** MINT CONDITION *** 

** CONVERTIBLE ** NEW TIRES **

*** FUN CAR TO DRIVE ***

** SERIOUS CALLERS ONLY **

*** CALL ME AT 
 show contact info
***


    ", (SF BAY AREA),2016-10-03T19:24:41-0700
"
           1978 alfa romeo spider veloce
   
           fuel: gas
           odometer: 23337
           title status: clean
           transmission: manual
   ",8000,ALFA ROMEO,http://sfbay.craigslist.org//sfc/cto/5785280138.html,"
1978 Alfa Romeo Spyder convertible. This is a GREAT little car! . A very good clean restoration has been done and you could drive it today. Interior is in great condition with new upholstery, new carpet, original dash and gauges, Alpine AM/FM, 5 speed manual transmission. Tires are like new all around. Trunk has the original bumper jack. Inline 4 cylinder with dual carbs, new alternator, and more! New convertible top that goes up and down easy and shows no wear. Please come down and see this car!! Clean title. trades considered motorcycles , guns, or ? 
here is a link to hagerty for values 
https://www.hagerty.com/apps/valuationtools/1978-Alfa_Romeo-Spider-Veloce
located in boise idaho    ", (Boise),2016-09-16T17:50:54-0700
"
           1963 Ford
   
           fuel: gas
           title status: clean
           transmission: manual
           type: truck
   ",2000,Ford Ranchero 63 rust bucket,http://sfbay.craigslist.org//sfc/cto/5811882802.html,"
Registration is good!!!
Car is pre-smoged.
Disk brakes in front
5 speed standard transmission with a 5.0 motor Rolling  project.

For more information please contact 
me at 
 show contact info


Thank you 

Lawrence    ", (Excelsior),2016-10-03T19:28:03-0700
"
           2014 Mercedes-Benz GLK350
   
           condition: new
           fuel: gas
           title status: salvage
           transmission: automatic
   ",24999,2014 Mercedes-Benz GLK350  18931 miles,http://sfbay.craigslist.org//sfc/cto/5811743389.html,"
This is dealer's sale. SALVAGE TITLE California salvage title. 2014 Mercedes-Benz GLK350 AMG styling package, 18931 miles. Diamond White exterior with black interior. New condition. Insurance quality repair done. No issues at all. 
Salvage title due to minor front accident.
California Highway Patrol inspection is passed. Certificate in hand.
Brake and Light inspection is passed . Certificate in hand
More quality pics and pics before repair here ----
http://s345.photobucket.com/user/merzag/library/2014%20Mercedes-Benz%20GLK350?sort=3&page=1
$24999. Sorry no financing. Call or text 8one873zero039six    ",,2016-10-03T17:27:04-0700
"
           2008 Mercedes-Benz e63 AMG
   
           fuel: gas
           odometer: 53000
           paint color: silver
           title status: salvage
           transmission: automatic
   ",21000,2008 MERCEDES BENZ E63 AMG PERFORMANCE PACKAGE P030,http://sfbay.craigslist.org//sfc/cto/5769787876.html,"
2008 Mercedes-Benz E63 AMG with the very rare P030 performance package $10,000 factory option. Includes two piece AMG wheels. Tuned airmatic suspension, limited slip differential, alcantara steering wheel, headliner and seats. Delimited top speed to 186 mph. Also comes with PDC (park distance control), Distronic (dynamic cruise control) and tons of other options. Salvage title. New Water pump and oil change just 1500 miles ago. Car is located in Sacramento. Asking 21,000 I will consider reasonable offers.Text or call 
 show contact info
Dan    ", (CITRUS HEIGHTS),2016-09-06T22:07:31-0700
"
           1996 Toyota camry
   
           fuel: gas
           title status: clean
           transmission: automatic
   ",2000,Toyota Camry,http://sfbay.craigslist.org//sfc/cto/5811888346.html,"
I am selling my Toyota Camry run and drive great car great gas mileage I bought a new car I've always taken care on the oil changes and kept up with most of it it was a commuter I'm hoping for someone else to get some use out of it...    ", (downtown / civic / van ness),2016-10-03T19:33:30-0700
"
           2005 toyota prius
   
           condition: good
           cylinders: 4 cylinders
           fuel: gas
           odometer: 170000
           paint color: blue
           title status: clean
           transmission: automatic
   ",3999,2005 Toyota Prius hybrid,http://sfbay.craigslist.org//sfc/cto/5811891210.html,"
letting go my reliable  commuter that been very good to me and never left me  stranded save alot of gas gets about 40mpg battery is still good and will run for a long time exterior is blue color with minor dings nothing major. interior is tan with no rips or tear ac blows ice cold with hot heater keyless smart key with new tires.   car holds a clean title and i just smog it with 2017 tags 


call or text if your interested 

 show contact info
    ", (lathrop),2016-10-03T19:36:20-0700
"
           1994 Toyota 4 runner
   
           condition: good
           cylinders: 6 cylinders
           drive: 4wd
           fuel: gas
           title status: clean
           transmission: automatic
   ",3400,Toyota 4 runner,http://sfbay.craigslist.org//sfc/cto/5807401358.html,"
Where do I start with This truck its great to begin with. it has two rebuilt heads. New timing belt new radiator new power steering pump new tires very good sound system this truck will get you from point A to B with no problems with a smooth ride the whole way. There's nothing wrong with the truck what's so ever it's ready to be on the road for a nice long drive to where ever you desire. It also has a clean tile mileage are 188,500 If you have any questions please call me at 
 show contact info
my names Disha thank you for taking a look at this post hope you Injoy the rest of your day.    ", (Hollister),2016-09-30T19:46:33-0700
"
           2004 Volkswagon Touareg
   
           condition: excellent
           cylinders: 8 cylinders
           drive: 4wd
           fuel: gas
           odometer: 122696
           paint color: custom
           size: sub-compact
           title status: clean
           transmission: automatic
           type: SUV
   ",8500,Volkswagen Touareg (clean),http://sfbay.craigslist.org//sfc/cto/5796419903.html,"
I am selling my 2004 Volkswagen Touareg suv, it is in excellent condition! Has clean title in hand and 122,696 miles. Maintenance was done recently i have receipts to work that was done to the truck, stock radio, leather interior perfect no wares or tares, back doors private screens and sun roof also has freshly matte wrap bronz color with 26"" rim lexani to match no curb rashes or any defect on rims its very clean Call for more info!. Don't hesitate to reach 
 show contact info
my name is jay $8500 OBO 


















    ", (San Francisco),2016-09-23T19:30:17-0700
